(29.3274420930067, 23.9167904339846)
(17.4635479313111, 42.6566637035928)
(54.2374823986656, 22.9755342432705)
(14.8875262702991, 64.0196586664561)
(76.5929018573892, 27.2623880418148)
(30.2341087811934, 75.9534000430746)
(13.9350214425841, 84.6004672947777)
(57.7491790386576, 65.1027444097916)
(33.1486702843494, 81.3876425767535)
(87.3021674792614, 11.4548500879373)
(51.1559058566284, 72.1259815813686)
(2.98470125719629, 91.2946560737242)
(33.8831637831714, 86.3197487063030)
(74.3475449797947, 63.8905159435175)
(85.7052398255243, 48.2386659995476)
(43.7301309696386, 92.7485046385427)
(47.6756295635880, 92.1193544091165)
(46.9553198758527, 93.3399269240206)
(54.2393404480875, 98.8489176508360)
(86.0444885692428, 95.4126121338727)
